"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Fossil Hard coal","271.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Fossil Oil","20.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Geothermal","0.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Hydro Pumped Storage","0.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Hydro Run-of-river and poundage","775.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Hydro Water Reservoir","1228.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Marine","0.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Nuclear","7092.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Other","0.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Other renewable","70.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Solar","8880.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Energy storage","n/e"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Waste","241.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Wind Onshore","6287.00"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|ES","Biomass","214.00"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|ES","Fossil Gas","2860.00"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|ES","Fossil Hard coal","260.00"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|ES","Fossil Oil","20.00"
