 "MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
 "03/01/2024 21:00:00 - 03/01/2024 21:15:00","BZN|ES","34012.00","32948.00"
 "03/01/2024 21:15:00 - 03/01/2024 21:30:00","BZN|ES","33588.00","32832.00"
 "03/01/2024 21:30:00 - 03/01/2024 21:45:00","BZN|ES","32963.00","32696.00"
 "03/01/2024 21:45:00 - 03/01/2024 22:00:00","BZN|ES","32192.00","32164.00"
 "03/01/2024 22:00:00 - 03/01/2024 22:15:00","BZN|ES","31350.00","31548.00"
 "03/01/2024 22:15:00 - 03/01/2024 22:30:00","BZN|ES","30503.00","30644.00"
 "03/01/2024 22:30:00 - 03/01/2024 22:45:00","BZN|ES","29714.00","30072.00"
 "03/01/2024 22:45:00 - 03/01/2024 23:00:00","BZN|ES","28983.00","29464.00"
 "03/01/2024 23:00:00 - 03/01/2024 23:15:00","BZN|ES","28266.00","28828.00"
 "03/01/2024 23:15:00 - 03/01/2024 23:30:00","BZN|ES","27617.00","28092.00"
 "03/01/2024 23:30:00 - 03/01/2024 23:45:00","BZN|ES","26992.00","27240.00"
